time,x,y,z,gforce
0.009,0.208,0.031,0.963,0.986
0.010,0.206,0.031,0.968,0.990
0.010,0.202,0.028,0.980,1.001
0.010,0.203,0.034,0.976,0.998
0.016,0.202,0.030,0.982,1.003
0.017,0.202,0.034,0.980,1.002
0.017,0.205,0.036,0.985,1.007
0.019,0.198,0.037,0.990,1.010
0.024,0.204,0.033,0.984,1.005
0.032,0.208,0.036,0.982,1.004
0.032,0.208,0.038,0.988,1.010
0.032,0.210,0.031,0.984,1.006
0.032,0.211,0.032,0.979,1.002
0.034,0.213,0.033,0.981,1.005
0.036,0.209,0.034,0.978,1.001
0.038,0.209,0.034,0.973,0.995
0.049,0.211,0.032,0.972,0.996
0.049,0.212,0.037,0.965,0.989
0.050,0.207,0.039,0.964,0.987
0.050,0.204,0.040,0.970,0.992
0.051,0.207,0.044,0.961,0.984
0.053,0.208,0.051,0.958,0.982
0.057,0.207,0.051,0.962,0.985
0.077,0.207,0.052,0.957,0.981
0.077,0.208,0.052,0.955,0.979
0.077,0.205,0.059,0.959,0.982
0.078,0.213,0.052,0.961,0.986
0.080,0.198,0.081,0.944,0.968
0.080,0.216,0.060,0.968,0.994
0.080,0.193,0.084,0.968,0.991
0.080,0.226,0.075,0.953,0.983
0.109,0.199,0.083,0.959,0.983
0.110,0.209,0.081,0.965,0.991
0.110,0.213,0.090,0.950,0.978
0.110,0.214,0.086,0.971,0.998
0.110,0.213,0.090,0.957,0.985
0.111,0.210,0.098,0.966,0.994
0.111,0.214,0.096,0.966,0.994
0.111,0.215,0.097,0.964,0.993
0.111,0.215,0.093,0.968,0.996
0.111,0.213,0.096,0.963,0.991
0.111,0.212,0.096,0.965,0.992
0.112,0.208,0.086,0.968,0.994
0.112,0.211,0.083,0.960,0.986
0.112,0.208,0.081,0.962,0.987
0.112,0.206,0.077,0.967,0.992
0.115,0.206,0.067,0.969,0.993
0.116,0.202,0.065,0.966,0.989
0.120,0.201,0.062,0.968,0.990
0.123,0.201,0.060,0.971,0.993
0.125,0.199,0.059,0.962,0.984
0.128,0.203,0.050,0.975,0.997
0.129,0.195,0.052,0.967,0.987
0.132,0.199,0.042,0.971,0.992
0.136,0.191,0.043,0.971,0.991
0.138,0.201,0.039,0.972,0.993
0.140,0.194,0.041,0.968,0.988
0.143,0.194,0.041,0.974,0.994
0.144,0.197,0.036,0.969,0.990
0.147,0.186,0.036,0.972,0.990
0.149,0.200,0.027,0.970,0.991
0.152,0.203,0.027,0.955,0.977
0.154,0.200,0.029,0.968,0.988
0.163,0.201,0.025,0.957,0.978
0.164,0.202,0.018,0.972,0.993
0.164,0.197,0.020,0.963,0.983
0.164,0.206,0.011,0.965,0.987
0.166,0.188,0.015,0.971,0.989
0.169,0.193,0.009,0.970,0.989
0.172,0.194,0.019,0.963,0.982
0.174,0.193,0.014,0.972,0.991
0.177,0.192,0.012,0.978,0.997
0.178,0.195,0.014,0.973,0.992
0.181,0.192,0.017,0.981,1.000
0.183,0.196,0.015,0.978,0.998
0.187,0.193,0.013,0.975,0.994
0.188,0.191,0.014,0.981,0.999
0.202,0.191,0.013,0.979,0.997
0.202,0.189,0.015,0.985,1.003
0.203,0.192,0.015,0.978,0.997
0.203,0.194,0.014,0.972,0.991
0.203,0.196,0.015,0.977,0.997
0.203,0.187,0.021,0.972,0.990
0.207,0.187,0.022,0.969,0.987
0.208,0.188,0.021,0.970,0.988
0.210,0.193,0.025,0.966,0.986
0.213,0.186,0.027,0.965,0.983
0.215,0.186,0.029,0.964,0.983
0.217,0.194,0.027,0.959,0.979
0.220,0.192,0.027,0.956,0.975
0.222,0.191,0.019,0.958,0.977
0.224,0.190,0.024,0.960,0.979
0.227,0.193,0.020,0.958,0.977
0.230,0.192,0.022,0.958,0.977
0.232,0.188,0.021,0.962,0.981
0.235,0.193,0.013,0.961,0.980
0.237,0.190,0.010,0.963,0.982
0.249,0.189,0.010,0.973,0.992
0.249,0.185,0.012,0.972,0.990
0.250,0.188,0.007,0.974,0.992
0.250,0.193,0.006,0.970,0.989
0.250,0.190,0.005,0.969,0.987
0.252,0.197,0.000,0.973,0.993
0.254,0.197,-0.006,0.964,0.984
0.258,0.198,-0.013,0.963,0.983
0.259,0.200,-0.012,0.963,0.983
0.262,0.199,-0.011,0.968,0.989
0.264,0.203,-0.016,0.964,0.986
0.267,0.204,-0.023,0.968,0.989
0.269,0.202,-0.020,0.965,0.986
0.272,0.204,-0.018,0.965,0.986
0.285,0.202,-0.020,0.970,0.991
0.285,0.207,-0.018,0.969,0.991
0.285,0.205,-0.017,0.964,0.986
0.286,0.206,-0.017,0.973,0.994
0.286,0.204,-0.017,0.975,0.996
0.286,0.203,-0.019,0.974,0.995
0.289,0.200,-0.016,0.979,1.000
0.294,0.203,-0.012,0.974,0.995
0.294,0.201,-0.015,0.978,0.998
0.296,0.198,-0.014,0.977,0.997
0.299,0.198,-0.012,0.976,0.996
0.301,0.198,-0.015,0.980,1.000
0.304,0.198,-0.012,0.979,0.999
0.306,0.197,-0.012,0.973,0.993
0.308,0.197,-0.011,0.973,0.992
0.310,0.198,-0.011,0.975,0.995
0.318,0.202,-0.011,0.970,0.991
0.318,0.201,-0.013,0.974,0.995
0.319,0.200,-0.016,0.969,0.989
0.320,0.201,-0.019,0.967,0.988
