time,x,y,z,gforce
0.010,-0.063,0.919,0.369,0.992
0.010,-0.064,0.924,0.372,0.998
0.011,-0.063,0.923,0.376,0.998
0.011,-0.063,0.926,0.375,1.001
0.011,-0.064,0.924,0.372,0.998
0.011,-0.066,0.925,0.376,1.001
0.016,-0.067,0.927,0.377,1.002
0.016,-0.068,0.924,0.375,0.999
0.018,-0.068,0.924,0.380,1.002
0.020,-0.067,0.924,0.379,1.001
0.022,-0.068,0.922,0.378,0.999
0.025,-0.064,0.920,0.376,0.996
0.028,-0.070,0.921,0.380,0.999
0.029,-0.067,0.914,0.375,0.990
0.033,-0.065,0.916,0.372,0.991
0.035,-0.065,0.914,0.374,0.989
0.038,-0.068,0.912,0.369,0.986
0.039,-0.066,0.906,0.373,0.982
0.042,-0.069,0.907,0.376,0.985
0.045,-0.069,0.907,0.372,0.983
0.047,-0.066,0.906,0.369,0.981
0.050,-0.064,0.905,0.366,0.979
0.054,-0.067,0.904,0.367,0.978
0.055,-0.069,0.907,0.369,0.981
0.057,-0.067,0.903,0.368,0.978
0.060,-0.070,0.905,0.369,0.980
0.063,-0.069,0.906,0.368,0.980
0.065,-0.069,0.903,0.377,0.981
0.067,-0.067,0.904,0.373,0.980
0.072,-0.067,0.905,0.375,0.982
0.072,-0.068,0.908,0.370,0.983
0.074,-0.070,0.909,0.371,0.984
0.079,-0.072,0.905,0.374,0.982
0.080,-0.069,0.905,0.371,0.980
0.082,-0.065,0.916,0.374,0.991
0.084,-0.067,0.912,0.379,0.990
0.093,-0.070,0.911,0.375,0.988
0.093,-0.071,0.915,0.373,0.991
0.094,-0.067,0.916,0.375,0.992
0.094,-0.063,0.916,0.377,0.993
0.096,-0.067,0.917,0.378,0.994
0.098,-0.066,0.916,0.373,0.991
0.101,-0.063,0.915,0.376,0.991
0.103,-0.064,0.914,0.373,0.990
0.106,-0.067,0.918,0.372,0.993
0.108,-0.067,0.918,0.370,0.992
0.110,-0.063,0.917,0.371,0.991
0.113,-0.063,0.916,0.377,0.993
0.116,-0.064,0.917,0.372,0.992
0.118,-0.063,0.922,0.372,0.996
0.121,-0.065,0.918,0.375,0.993
0.123,-0.066,0.911,0.367,0.984
0.125,-0.060,0.913,0.363,0.984
0.128,-0.063,0.913,0.372,0.988
0.130,-0.063,0.915,0.369,0.989
0.133,-0.064,0.912,0.368,0.986
0.137,-0.064,0.914,0.367,0.987
0.138,-0.062,0.913,0.369,0.986
0.140,-0.060,0.912,0.370,0.986
0.143,-0.064,0.914,0.374,0.989
0.145,-0.064,0.912,0.370,0.986
0.148,-0.062,0.916,0.373,0.991
0.150,-0.062,0.909,0.377,0.986
0.153,-0.065,0.909,0.376,0.986
0.155,-0.063,0.913,0.371,0.988
0.158,-0.063,0.911,0.371,0.986
0.160,-0.061,0.909,0.370,0.983
0.163,-0.061,0.910,0.372,0.985
0.166,-0.066,0.906,0.377,0.984
0.168,-0.066,0.911,0.373,0.986
0.170,-0.065,0.906,0.374,0.982
0.172,-0.066,0.909,0.371,0.984
0.175,-0.068,0.908,0.370,0.983
0.177,-0.067,0.907,0.381,0.986
0.179,-0.069,0.912,0.375,0.989
0.182,-0.067,0.907,0.379,0.985
0.185,-0.065,0.908,0.374,0.984
0.188,-0.062,0.909,0.372,0.984
0.190,-0.068,0.913,0.377,0.990
0.192,-0.067,0.911,0.374,0.987
