time,x,y,z,gforce
0.009,0.080,0.134,1.104,1.115
0.010,-0.032,0.189,1.167,1.183
0.010,0.236,0.007,0.969,0.997
0.010,0.277,-0.051,0.956,0.997
0.010,0.227,0.034,1.175,1.197
0.019,0.350,0.076,0.804,0.880
0.019,0.087,0.057,1.056,1.061
0.019,0.338,-0.022,0.873,0.936
0.025,0.424,-0.037,0.825,0.929
0.025,0.324,-0.079,1.099,1.148
0.025,0.372,0.055,0.783,0.869
0.029,0.212,0.090,0.929,0.957
0.037,0.176,0.033,1.068,1.083
0.037,0.505,-0.105,0.671,0.847
0.037,0.185,-0.071,1.088,1.106
0.038,0.140,0.031,1.083,1.093
0.040,0.110,0.097,0.792,0.806
0.043,0.039,0.027,1.076,1.077
0.046,0.211,-0.076,1.089,1.112
0.047,0.141,0.022,1.153,1.162
0.049,-0.050,0.118,1.168,1.175
0.052,0.071,0.145,0.976,0.990
0.055,0.139,0.014,1.024,1.033
0.058,0.196,-0.114,1.094,1.117
0.061,0.256,-0.045,0.962,0.996
0.063,0.188,0.095,0.898,0.922
0.064,0.278,0.032,0.768,0.818
0.067,0.271,0.011,0.845,0.888
0.070,0.281,-0.096,0.981,1.025
0.073,0.263,0.010,0.915,0.952
0.074,0.168,0.090,0.986,1.004
0.077,0.163,0.043,0.915,0.930
0.080,0.218,0.002,0.886,0.912
0.082,0.128,-0.073,1.145,1.154
0.084,0.137,-0.039,1.145,1.154
0.087,0.089,0.017,0.957,0.961
0.089,0.115,-0.051,0.974,0.982
0.091,0.094,-0.094,1.034,1.043
0.098,0.001,-0.156,1.305,1.315
0.098,-0.131,-0.063,1.326,1.334
0.099,-0.093,-0.014,1.215,1.219
0.103,0.112,-0.097,1.030,1.041
0.104,0.204,-0.184,1.027,1.063
0.108,0.188,-0.147,1.032,1.059
0.108,0.356,-0.074,0.886,0.958
0.119,0.406,-0.043,0.745,0.849
0.120,0.494,-0.094,0.587,0.773
0.120,0.561,-0.144,0.493,0.761
0.120,0.494,-0.224,0.561,0.781
0.121,0.496,-0.162,0.603,0.797
0.123,0.501,0.002,0.515,0.718
0.125,0.418,0.039,0.512,0.662
0.129,0.356,0.011,0.560,0.664
0.136,0.271,0.021,0.701,0.752
0.136,0.196,0.051,0.829,0.854
0.137,0.197,0.109,0.884,0.912
0.138,0.094,0.236,0.937,0.971
0.141,-0.002,0.178,1.049,1.063
0.154,0.029,0.206,1.142,1.161
0.154,0.191,0.162,1.086,1.115
0.154,0.170,0.113,1.244,1.260
0.155,0.060,0.214,1.264,1.283
0.155,0.175,0.187,1.060,1.091
0.156,0.343,0.085,1.069,1.126
0.158,0.478,0.001,0.895,1.015
0.163,0.371,-0.031,1.064,1.127
0.163,0.289,0.029,0.918,0.963
0.165,0.323,-0.003,0.774,0.839
0.168,0.359,-0.084,0.898,0.971
0.170,0.294,-0.170,0.837,0.904
0.173,0.231,-0.103,0.955,0.988
0.176,0.143,0.011,0.912,0.923
0.178,-0.055,0.027,1.151,1.153
0.179,0.073,-0.000,1.175,1.178
0.182,0.100,-0.101,1.203,1.212
0.184,-0.157,-0.092,1.461,1.473
0.188,-0.100,-0.047,1.280,1.285
0.189,0.032,-0.149,1.182,1.192
0.193,0.268,-0.205,1.053,1.106
0.196,0.295,-0.256,1.049,1.119
0.197,0.273,-0.193,1.057,1.109
0.200,0.374,-0.143,0.809,0.902
0.202,0.356,-0.150,0.851,0.934
0.204,0.576,-0.203,0.682,0.915
0.207,0.615,-0.197,0.601,0.882
0.209,0.287,-0.078,0.920,0.967
0.212,0.314,0.001,0.713,0.779
0.214,0.355,0.019,0.707,0.791
0.217,0.392,-0.046,0.875,0.959
0.219,0.267,-0.057,0.920,0.959
0.222,0.059,0.072,1.052,1.056
0.224,0.003,0.098,1.085,1.089
0.234,0.059,0.026,1.139,1.141
0.235,0.230,-0.034,0.976,1.004
0.235,0.159,-0.051,1.105,1.118
0.235,-0.027,-0.012,1.225,1.226
0.237,0.040,0.004,1.034,1.034
0.239,0.113,-0.078,0.971,0.981
0.241,0.311,-0.138,0.890,0.953
0.245,0.400,-0.199,0.894,0.999
0.261,0.171,-0.086,0.982,1.000
0.261,0.288,0.011,0.765,0.818
0.262,0.292,-0.006,0.850,0.899
0.262,0.426,-0.064,0.863,0.965
0.262,0.482,-0.044,0.798,0.934
0.262,0.178,0.005,1.039,1.054
0.262,0.044,0.086,1.087,1.091
0.273,0.242,0.001,0.976,1.006
0.274,0.320,-0.107,0.954,1.012
0.274,0.230,-0.120,1.136,1.165
0.274,-0.028,-0.015,1.219,1.219
0.274,0.015,0.003,1.147,1.147
0.276,0.194,-0.080,1.019,1.040
0.278,0.293,-0.172,1.021,1.076
0.280,0.298,-0.162,0.895,0.957
0.283,0.044,-0.030,1.029,1.030
0.286,0.046,-0.006,1.007,1.008
0.289,0.345,-0.118,0.740,0.825
0.290,0.424,-0.193,0.790,0.917
0.294,0.080,-0.123,0.995,1.005
0.295,-0.101,-0.042,1.170,1.175
0.299,0.039,-0.049,0.968,0.970
0.301,0.195,-0.105,1.018,1.041
0.314,0.255,-0.120,1.072,1.108
0.315,0.179,-0.017,0.977,0.993
0.315,0.167,0.065,0.917,0.934
