time,x,y,z,abs avg
24.152,0.185,-0.019,0.841,0.348333
24.152,0.100,0.011,1.128,0.413
24.153,0.188,0.054,0.885,0.375667
24.153,0.099,-0.057,0.941,0.365667
24.153,0.090,-0.003,1.026,0.373
24.153,0.139,0.068,0.913,0.373333
24.153,0.110,0.072,1.018,0.4
24.153,0.398,0.064,0.866,0.442667
24.154,0.390,-0.020,0.797,0.402333
24.154,0.362,0.037,0.866,0.421667
24.158,0.429,0.033,0.783,0.415
24.159,0.349,0.017,0.972,0.446
24.161,0.277,0.019,1.058,0.451333
24.165,0.178,0.043,1.096,0.439
24.166,0.181,0.007,1.198,0.462
24.169,0.260,-0.046,1.017,0.441
24.172,0.201,0.013,1.030,0.414667
24.175,0.163,0.030,1.001,0.398
24.176,0.135,0.052,0.970,0.385667
24.179,0.210,-0.026,0.881,0.372333
24.181,0.130,-0.034,0.962,0.375333
24.183,0.011,0.025,1.094,0.376667
24.186,0.139,0.033,0.867,0.346333
24.189,0.064,-0.056,1.002,0.374
24.191,0.164,-0.058,0.985,0.402333
24.194,0.154,-0.077,0.995,0.408667
24.197,0.117,-0.019,1.064,0.4
24.199,0.276,-0.057,0.889,0.407333
24.201,0.295,-0.081,0.893,0.423
24.204,0.319,-0.123,0.846,0.429333
24.206,0.337,-0.020,0.797,0.384667
24.210,0.290,-0.029,0.970,0.429667
24.211,0.309,-0.035,0.805,0.383
24.214,0.307,-0.003,0.777,0.362333
24.216,0.157,-0.067,0.996,0.406667
24.219,0.152,-0.002,1.055,0.403
24.221,0.258,-0.036,0.923,0.405667
24.265,0.130,-0.056,1.050,0.412
24.266,0.180,-0.045,0.912,0.379
24.266,0.264,-0.005,0.810,0.359667
24.266,0.177,-0.033,0.915,0.375
24.266,0.353,-0.029,0.714,0.365333
24.267,0.029,-0.011,1.049,0.363
24.267,0.248,-0.023,0.865,0.378667
24.267,0.205,-0.020,0.807,0.344
24.267,0.059,-0.060,1.277,0.465333
24.267,0.186,0.006,1.037,0.409667
24.268,0.042,0.002,1.163,0.402333
24.268,0.042,-0.134,1.227,0.467667
24.268,0.293,-0.062,0.825,0.393333
24.268,0.033,-0.132,1.375,0.513333
24.268,0.115,0.019,1.184,0.439333
24.269,0.211,0.011,1.015,0.412333
24.269,0.293,-0.004,0.809,0.368667
24.269,0.266,-0.033,0.962,0.420333
24.269,0.385,-0.020,0.686,0.363667
24.282,0.222,-0.099,1.057,0.459333
24.282,0.317,-0.083,0.845,0.415
24.282,0.166,-0.122,1.022,0.436667
24.282,0.267,-0.072,0.822,0.387
24.283,0.246,-0.114,0.891,0.417
24.283,0.162,-0.066,1.020,0.416
24.285,0.135,-0.042,1.055,0.410667
24.287,0.228,0.018,0.769,0.338333
24.290,0.091,-0.112,1.059,0.420667
24.292,0.099,0.003,1.024,0.375333
24.294,-0.021,-0.010,1.290,0.440333
24.296,-0.013,0.021,1.262,0.432
24.299,0.090,-0.108,1.103,0.433667
24.302,0.053,-0.168,1.107,0.442667
24.305,0.053,-0.088,1.124,0.421667
24.307,0.277,-0.042,0.910,0.409667
24.312,0.286,-0.065,0.852,0.401
24.312,0.344,-0.090,0.762,0.398667
24.313,0.318,-0.004,0.703,0.341667
24.317,0.186,0.006,0.908,0.366667
24.319,0.321,-0.021,0.806,0.382667
24.321,0.292,-0.027,0.873,0.397333
24.353,0.225,-0.033,0.951,0.403
24.353,0.227,-0.028,0.907,0.387333
24.353,0.220,-0.112,0.912,0.414667
24.353,0.149,-0.135,1.134,0.472667
24.354,0.288,-0.015,0.930,0.411
24.354,0.236,0.024,0.878,0.379333
24.354,0.138,-0.021,1.015,0.391333
24.354,0.291,-0.018,0.721,0.343333
24.354,0.115,-0.030,1.057,0.400667
24.355,-0.004,-0.002,1.247,0.417667
24.355,0.081,-0.028,1.021,0.376667
24.355,-0.099,-0.100,1.271,0.49
24.355,-0.050,-0.113,1.248,0.470333
24.356,0.160,-0.089,0.951,0.4
24.358,0.021,-0.077,1.179,0.425667
24.360,0.173,-0.047,0.944,0.388
24.363,0.247,-0.057,0.769,0.357667
24.366,0.282,-0.082,0.821,0.395
24.369,0.331,-0.036,0.731,0.366
24.371,0.229,-0.045,0.874,0.382667
24.374,0.226,-0.037,0.871,0.378
24.375,0.202,-0.090,0.860,0.384
24.379,0.124,-0.157,1.049,0.443333
24.380,0.041,-0.093,1.122,0.418667
24.382,0.022,-0.116,1.182,0.44
24.386,0.041,-0.056,1.135,0.410667
24.387,0.033,-0.057,1.106,0.398667
24.390,0.080,-0.063,1.034,0.392333
24.392,0.107,-0.015,0.937,0.353
24.395,-0.021,-0.049,1.111,0.393667
24.397,0.042,-0.029,0.976,0.349
24.400,0.154,-0.069,0.838,0.353667
24.403,0.038,-0.076,1.059,0.391
24.405,-0.039,-0.062,1.141,0.414
24.410,-0.013,-0.012,1.103,0.376
24.410,0.226,-0.065,0.963,0.418
24.413,0.280,-0.054,0.846,0.393333
24.415,0.333,-0.077,0.743,0.384333
24.418,0.438,-0.041,0.658,0.379
24.420,0.443,-0.065,0.732,0.413333
24.422,0.415,-0.060,0.763,0.412667
24.468,0.348,-0.032,0.809,0.396333
24.468,0.392,-0.006,0.818,0.405333
24.468,0.409,-0.029,0.824,0.420667
24.469,0.369,-0.060,0.999,0.476
24.469,0.265,-0.077,1.175,0.505667
24.469,0.024,-0.072,1.322,0.472667
24.469,-0.018,-0.050,1.337,0.468333
24.469,0.071,-0.091,1.185,0.449
24.470,0.143,-0.078,1.123,0.448
24.470,0.248,-0.052,0.957,0.419
24.470,0.082,-0.063,1.038,0.394333
24.470,0.111,-0.046,0.935,0.364
24.470,0.247,-0.072,0.715,0.344667
24.471,0.260,-0.042,0.768,0.356667
24.471,0.135,-0.048,0.966,0.383
24.471,0.054,-0.058,1.020,0.377333
24.471,0.149,-0.128,0.860,0.379
24.471,0.184,-0.121,0.831,0.378667
24.472,0.083,-0.122,0.982,0.395667
24.472,0.076,-0.078,1.010,0.388
24.474,0.099,-0.051,0.911,0.353667
24.478,0.156,-0.100,0.834,0.363333
24.478,0.098,-0.102,0.953,0.384333
24.482,0.124,-0.037,0.876,0.345667
24.485,0.133,-0.054,0.878,0.355
24.487,-0.150,-0.037,1.275,0.487333
24.489,0.006,-0.075,1.163,0.414667
24.492,0.060,-0.063,0.919,0.347333
24.493,-0.033,-0.097,1.125,0.418333
24.496,0.182,-0.052,0.917,0.383667
24.499,0.133,0.006,0.921,0.353333
24.501,0.161,0.022,1.012,0.398333
24.503,0.410,0.037,0.662,0.369667
24.505,0.228,0.040,0.870,0.379333
24.542,0.182,0.093,0.991,0.422
24.542,0.337,0.058,0.756,0.383667
24.543,0.159,0.034,1.103,0.432
24.556,0.208,0.016,0.996,0.406667
24.556,0.126,0.059,0.955,0.38
24.556,-0.056,0.020,1.226,0.434
24.557,0.231,-0.028,0.928,0.395667
24.557,0.191,0.031,0.939,0.387
24.557,0.001,0.053,1.183,0.412333
24.557,0.189,0.039,0.920,0.382667
24.558,0.066,0.013,0.977,0.352
24.558,0.001,0.003,1.141,0.381667
24.558,0.160,0.062,0.918,0.38
24.559,0.089,0.024,1.104,0.405667
24.559,0.168,-0.019,1.027,0.404667
24.559,0.245,-0.008,0.841,0.364667
24.559,0.098,-0.023,1.037,0.386
24.560,0.269,-0.042,0.838,0.383
24.560,0.398,-0.035,0.785,0.406
24.560,0.281,-0.056,1.034,0.457
24.560,0.423,0.025,0.710,0.386
24.561,0.291,-0.018,0.860,0.389667
24.563,0.159,-0.017,1.106,0.427333
24.564,0.275,-0.003,0.929,0.402333
24.567,0.074,-0.041,1.233,0.449333
24.570,0.014,-0.029,1.279,0.440667
24.573,0.103,-0.049,1.037,0.396333
24.575,-0.055,-0.050,1.147,0.417333
24.578,0.130,-0.042,0.975,0.382333
24.580,0.293,0.010,0.820,0.374333
24.581,0.183,0.024,0.927,0.378
24.585,0.276,0.052,0.785,0.371
24.587,0.311,0.021,0.755,0.362333
24.590,0.182,-0.009,0.932,0.374333
24.592,0.294,0.007,0.878,0.393
24.594,0.260,-0.012,0.936,0.402667
24.597,0.150,-0.015,1.097,0.420667
24.599,0.107,0.008,1.020,0.378333
24.602,0.088,0.004,1.084,0.392
24.604,0.166,0.025,1.018,0.403
24.609,0.118,0.002,1.042,0.387333
24.610,0.110,0.069,1.041,0.406667
24.612,0.263,0.046,0.794,0.367667
24.614,0.143,0.089,0.993,0.408333
24.617,0.067,0.045,1.120,0.410667
24.619,0.143,0.077,0.945,0.388333
24.621,0.079,0.024,1.030,0.377667
24.646,0.117,-0.018,0.944,0.359667
24.647,0.157,0.017,0.916,0.363333
24.647,-0.001,0.017,1.121,0.379667
24.647,0.116,0.096,0.935,0.382333
24.647,0.154,0.053,0.832,0.346333
24.647,0.026,0.042,1.083,0.383667
24.647,0.153,0.060,0.827,0.346667
24.648,0.009,0.099,0.995,0.367667
24.648,0.094,0.097,1.085,0.425333
24.648,0.365,0.039,0.670,0.358
24.649,0.227,0.051,0.924,0.400667
24.652,0.177,0.047,1.111,0.445
24.654,0.241,0.078,0.979,0.432667
24.656,0.145,0.034,1.116,0.431667
24.658,0.177,0.025,1.091,0.431
24.661,0.149,0.095,1.041,0.428333
24.664,0.131,0.057,1.055,0.414333
24.667,0.267,0.041,0.874,0.394
24.668,0.167,0.092,0.950,0.403
24.671,0.090,0.091,1.030,0.403667
24.674,0.143,0.076,0.786,0.335
24.675,0.043,-0.033,0.933,0.336333
24.678,-0.034,-0.056,1.002,0.364
24.680,0.006,-0.023,0.981,0.336667
24.683,-0.003,-0.002,1.033,0.346
24.686,0.048,-0.037,0.886,0.323667
24.688,0.084,-0.054,0.916,0.351333
24.690,0.051,0.023,0.933,0.335667
24.693,0.222,-0.088,0.789,0.366333
24.695,0.219,0.002,0.819,0.346667
24.698,0.129,-0.002,0.986,0.372333
24.700,0.253,-0.004,0.779,0.345333
24.705,0.132,-0.033,1.014,0.393
24.708,0.058,-0.069,1.223,0.45
24.708,0.239,-0.073,1.033,0.448333
24.710,0.176,-0.015,1.039,0.41
24.713,0.147,-0.040,1.056,0.414333
24.715,0.186,-0.069,0.917,0.390667
24.717,0.201,-0.060,1.084,0.448333
24.719,0.239,0.007,0.998,0.414667
24.735,0.156,0.004,1.031,0.397
24.736,0.168,-0.060,1.018,0.415333
24.736,0.241,-0.091,0.854,0.395333
24.736,0.001,-0.098,1.096,0.398333
24.736,-0.060,-0.149,1.246,0.485
24.736,0.085,-0.127,1.046,0.419333
24.736,0.026,-0.119,1.127,0.424
24.739,0.132,-0.103,0.883,0.372667
24.741,0.167,-0.114,0.787,0.356
24.744,0.051,-0.052,1.019,0.374
24.746,0.139,-0.096,0.962,0.399
24.749,0.223,-0.112,0.867,0.400667
24.751,0.086,-0.139,1.105,0.443333
24.754,0.165,-0.122,0.957,0.414667
24.756,0.200,-0.115,0.898,0.404333
24.759,0.218,-0.168,1.056,0.480667
24.765,0.195,-0.111,1.089,0.465
24.766,0.219,-0.106,1.033,0.452667
24.766,0.215,-0.078,0.972,0.421667
24.769,0.325,-0.133,0.864,0.440667
24.771,0.313,-0.105,0.873,0.430333
24.774,0.293,-0.043,0.872,0.402667
24.776,0.293,-0.091,0.864,0.416
24.778,0.293,-0.118,0.790,0.400333
24.781,0.099,-0.096,1.001,0.398667
24.783,0.111,-0.049,0.976,0.378667
24.786,0.156,-0.122,0.956,0.411333
24.793,-0.048,-0.064,1.269,0.460333
24.795,0.070,-0.122,1.091,0.427667
24.795,0.182,-0.112,0.949,0.414333
24.795,0.115,-0.062,0.951,0.376
24.798,0.185,-0.130,0.888,0.401
24.801,0.227,-0.098,0.887,0.404
24.803,0.262,-0.131,0.918,0.437
24.837,0.298,-0.170,0.831,0.433
24.837,0.278,-0.166,0.782,0.408667
24.837,0.254,-0.123,0.894,0.423667
24.838,0.305,-0.174,0.889,0.456
24.838,0.153,-0.108,1.103,0.454667
24.838,0.151,-0.096,1.162,0.469667
24.838,0.271,-0.124,0.973,0.456
24.838,0.224,-0.040,1.046,0.436667
24.839,0.281,-0.130,1.007,0.472667
24.839,0.312,-0.099,0.920,0.443667
24.839,0.202,-0.122,1.075,0.466333
24.839,0.305,-0.223,0.898,0.475333
24.839,0.325,-0.218,0.818,0.453667
24.840,0.266,-0.237,1.017,0.506667
24.840,0.315,-0.201,0.841,0.452333
24.844,0.228,-0.247,0.931,0.468667
24.846,0.196,-0.260,1.100,0.518667
24.847,0.239,-0.243,0.949,0.477
24.851,0.164,-0.194,1.010,0.456
24.852,0.227,-0.265,1.002,0.498
24.856,0.222,-0.223,0.995,0.48
24.857,0.202,-0.195,1.094,0.497
24.859,0.305,-0.284,0.892,0.493667
24.862,0.232,-0.183,0.970,0.461667
24.864,0.303,-0.255,1.054,0.537333
24.867,0.355,-0.195,0.885,0.478333
24.869,0.191,-0.213,1.157,0.520333
24.872,0.263,-0.205,1.079,0.515667
24.874,0.286,-0.190,0.946,0.474
24.877,0.290,-0.198,1.000,0.496
24.879,0.328,-0.227,0.890,0.481667
24.882,0.157,-0.144,1.065,0.455333
24.884,0.260,-0.211,0.980,0.483667
24.886,0.384,-0.200,0.748,0.444
24.890,0.253,-0.148,0.961,0.454
24.891,0.126,-0.148,1.055,0.443
24.894,0.107,-0.127,1.069,0.434333
24.896,0.188,-0.237,0.956,0.460333
24.899,0.173,-0.238,0.981,0.464
24.901,0.214,-0.217,0.973,0.468
24.904,0.204,-0.218,0.908,0.443333
24.907,0.192,-0.227,0.973,0.464
24.909,0.278,-0.192,0.892,0.454
24.911,0.251,-0.164,0.892,0.435667
24.913,0.179,-0.105,1.010,0.431333
24.916,0.165,-0.138,1.103,0.468667
24.918,0.166,-0.135,1.128,0.476333
24.950,0.162,-0.139,1.077,0.459333
24.951,0.171,-0.183,0.999,0.451
24.951,0.231,-0.174,0.982,0.462333
24.951,0.235,-0.200,1.074,0.503
24.951,0.196,-0.137,1.096,0.476333
24.952,0.194,-0.049,1.038,0.427
24.952,0.099,-0.065,1.146,0.436667
24.952,0.149,-0.028,1.087,0.421333
24.952,0.115,-0.009,1.161,0.428333
24.952,0.052,-0.078,1.350,0.493333
24.953,0.225,-0.102,1.036,0.454333
24.953,0.295,-0.180,0.888,0.454333
24.953,0.278,-0.228,0.916,0.474
24.953,0.235,-0.212,0.867,0.438
24.956,0.331,-0.216,0.844,0.463667
24.960,0.422,-0.180,0.801,0.467667
24.961,0.324,-0.074,0.802,0.4
24.963,0.319,-0.077,0.710,0.368667
24.967,0.217,-0.056,0.795,0.356
24.968,-0.006,-0.066,1.204,0.425333
24.970,0.143,-0.030,1.112,0.428333
24.973,0.086,-0.024,1.010,0.373333
24.975,-0.080,-0.103,1.250,0.477667
24.977,0.088,-0.140,1.000,0.409333
24.980,0.133,-0.162,0.906,0.400333
24.983,0.230,-0.076,0.962,0.422667
24.985,0.153,-0.002,0.917,0.357333
24.989,0.111,0.004,0.981,0.365333
24.990,0.258,-0.064,0.737,0.353
24.993,0.059,-0.077,1.077,0.404333
24.995,-0.007,0.028,1.298,0.444333
24.997,0.134,0.012,1.091,0.412333
25.000,0.016,-0.053,1.193,0.420667
25.003,0.082,-0.130,1.050,0.420667
25.005,0.018,-0.080,1.050,0.382667
25.020,0.158,-0.063,1.057,0.426
25.020,0.357,-0.078,0.765,0.4
25.020,0.275,-0.100,0.854,0.409667
25.021,0.449,-0.100,0.678,0.409
25.021,0.459,-0.043,0.565,0.355667
25.021,0.359,-0.110,0.822,0.430333
25.027,0.434,-0.109,0.672,0.405
25.030,0.179,-0.025,0.943,0.382333
25.031,0.153,-0.057,1.028,0.412667
25.031,0.147,-0.063,0.984,0.398
25.033,0.016,-0.105,1.170,0.430333
25.034,0.005,-0.063,1.097,0.388333
25.036,0.004,0.002,0.982,0.329333
25.056,0.018,-0.019,0.977,0.338
25.056,0.117,0.024,0.855,0.332
25.056,0.085,0.004,0.929,0.339333
25.057,0.053,0.024,0.932,0.336333
25.057,0.133,-0.015,0.786,0.311333
25.057,0.168,-0.033,0.777,0.326
25.057,0.057,-0.034,0.955,0.348667
25.057,0.136,-0.018,0.978,0.377333
25.058,0.108,0.001,1.002,0.370333
25.062,0.194,-0.013,0.930,0.379
25.064,0.300,-0.021,0.796,0.372333
25.067,0.330,-0.003,0.721,0.351333
25.069,0.250,0.052,0.953,0.418333
25.071,0.343,0.047,0.887,0.425667
25.074,0.163,0.072,1.039,0.424667
25.076,0.113,0.064,1.176,0.451
25.078,0.162,0.061,1.037,0.42
25.081,0.181,0.044,1.063,0.429333
25.083,0.086,0.024,1.238,0.449333
25.086,0.102,-0.002,1.132,0.412
25.088,0.151,-0.112,1.010,0.424333
25.091,0.172,-0.113,0.895,0.393333
25.093,0.224,-0.059,0.781,0.354667
25.096,0.343,-0.049,0.770,0.387333
25.098,0.228,0.022,0.854,0.368
25.101,0.275,0.027,0.720,0.340667
25.103,0.223,-0.037,0.780,0.346667
25.106,0.062,-0.030,0.961,0.351
25.108,0.193,-0.073,0.847,0.371
25.110,0.231,-0.113,0.840,0.394667
25.113,0.231,-0.101,0.817,0.383
25.116,0.309,-0.076,0.684,0.356333
25.118,0.390,-0.116,0.573,0.359667
25.154,0.380,-0.108,0.628,0.372
25.154,0.330,0.023,0.729,0.360667
25.155,0.309,0.022,0.779,0.37
25.155,0.290,0.121,0.727,0.379333
25.155,0.206,-0.020,0.826,0.350667
25.155,0.058,-0.030,1.038,0.375333
25.155,0.058,-0.060,1.155,0.424333
25.156,0.077,-0.212,1.238,0.509
25.156,0.143,-0.116,1.092,0.450333
25.156,0.116,-0.086,1.073,0.425
25.156,0.044,0.023,1.267,0.444667
25.156,0.310,0.035,0.935,0.426667
25.157,0.227,-0.073,1.069,0.456333
25.157,0.194,-0.033,1.086,0.437667
25.157,0.331,0.011,0.789,0.377
25.157,0.303,-0.079,0.843,0.408333
25.160,0.308,-0.054,0.854,0.405333
25.163,0.257,-0.031,0.918,0.402
25.164,0.295,-0.059,0.840,0.398
25.166,0.313,-0.098,0.750,0.387
25.169,0.051,-0.212,1.108,0.457
25.171,0.111,-0.061,1.121,0.431
25.174,0.060,0.013,1.099,0.390667
25.176,-0.050,0.026,1.251,0.442333
25.178,0.078,-0.013,0.955,0.348667
25.181,0.114,-0.142,0.917,0.391
25.184,-0.013,-0.153,1.190,0.452
25.186,0.081,-0.137,1.056,0.424667
25.189,-0.062,-0.072,1.191,0.441667
25.191,-0.013,-0.068,1.158,0.413
25.194,0.021,-0.006,1.047,0.358
25.196,-0.030,-0.063,1.119,0.404
25.199,-0.049,-0.069,1.133,0.417
25.201,0.092,-0.112,1.016,0.406667
25.203,0.211,-0.127,0.946,0.428
25.208,0.379,-0.011,0.746,0.378667
25.208,0.460,-0.074,0.698,0.410667
25.211,0.496,0.025,0.703,0.408
25.214,0.520,-0.053,0.745,0.439333
25.216,0.337,-0.052,0.964,0.451
25.218,0.343,-0.007,1.001,0.450333
25.243,0.252,-0.076,1.042,0.456667
25.244,0.005,-0.114,1.332,0.483667
25.244,0.040,-0.132,1.185,0.452333
25.244,0.008,-0.154,1.211,0.457667
25.244,-0.053,-0.147,1.235,0.478333
25.244,0.006,-0.099,1.011,0.372
25.244,-0.068,-0.093,1.031,0.397333
25.244,-0.047,-0.091,0.951,0.363
25.244,0.093,-0.057,0.808,0.319333
25.244,0.034,-0.111,0.914,0.353
25.245,0.029,-0.054,0.865,0.316
25.249,0.078,-0.135,0.768,0.327
25.251,0.065,-0.196,0.888,0.383
25.258,0.179,-0.162,0.913,0.418
25.258,0.120,-0.139,0.979,0.412667
25.258,0.147,-0.066,0.993,0.402
25.260,0.315,-0.067,0.830,0.404
25.262,0.342,0.001,0.907,0.416667
25.265,0.284,0.082,0.910,0.425333
25.267,0.319,0.052,0.993,0.454667
25.271,0.329,-0.010,0.907,0.415333
25.272,0.348,-0.048,0.829,0.408333
25.275,0.226,-0.094,0.968,0.429333
25.278,0.124,-0.024,0.980,0.376
25.280,0.039,-0.004,1.202,0.415
25.282,-0.021,-0.026,1.215,0.420667
25.285,-0.061,0.028,1.149,0.412667
25.287,-0.096,0.007,1.125,0.409333
25.290,-0.014,0.067,0.989,0.356667
25.292,0.009,0.088,0.939,0.345333
25.294,0.060,0.020,0.993,0.357667
25.297,0.181,0.046,0.774,0.333667
25.299,0.148,-0.008,0.735,0.297
25.302,0.129,-0.067,0.869,0.355
25.305,0.144,-0.035,0.862,0.347
25.308,0.106,-0.028,1.127,0.420333
25.310,0.165,0.040,1.059,0.421333
25.313,0.179,0.025,0.999,0.401
25.315,0.176,-0.039,0.996,0.403667
25.317,0.296,-0.009,0.834,0.379667
25.320,0.274,-0.034,0.928,0.412
25.324,0.204,-0.032,1.054,0.43
25.324,0.227,-0.010,0.953,0.396667
25.327,0.272,-0.060,0.828,0.386667
25.329,0.163,-0.069,0.981,0.404333
25.332,0.054,-0.057,1.084,0.398333
25.334,-0.025,-0.058,1.230,0.437667
25.336,0.108,-0.047,1.041,0.398667
25.387,0.058,-0.066,1.037,0.387
25.388,0.047,-0.082,1.048,0.392333
25.388,0.139,-0.045,0.816,0.333333
25.388,0.164,-0.067,0.825,0.352
25.388,0.125,-0.064,0.930,0.373
25.388,0.090,-0.043,1.022,0.385
25.389,0.202,-0.016,0.826,0.348
25.389,0.106,-0.036,0.949,0.363667
25.389,-0.048,-0.022,1.174,0.414667
25.389,0.112,-0.044,1.042,0.399333
25.389,0.035,-0.051,1.173,0.419667
25.390,-0.003,-0.061,1.282,0.448667
25.390,0.115,-0.020,1.017,0.384
25.390,0.160,-0.014,0.955,0.376333
25.390,0.359,-0.084,0.794,0.412333
25.390,0.326,-0.065,0.780,0.390333
25.391,0.184,-0.009,0.901,0.364667
25.391,0.346,-0.058,0.710,0.371333
25.391,0.253,-0.048,0.773,0.358
25.391,0.029,-0.044,1.067,0.38
25.391,0.062,0.006,1.016,0.361333
25.392,-0.009,-0.038,1.055,0.367333
25.393,-0.094,-0.110,1.219,0.474333
25.395,0.028,-0.085,1.048,0.387
25.399,0.099,-0.048,0.995,0.380667
25.401,0.136,-0.037,0.983,0.385333
25.404,0.256,-0.139,0.825,0.406667
25.406,0.149,-0.089,0.915,0.384333
25.408,0.230,-0.106,0.834,0.39
25.410,0.192,-0.097,0.841,0.376667
25.412,0.097,-0.042,0.996,0.378333
25.415,0.122,-0.032,0.962,0.372
25.417,0.014,-0.009,1.063,0.362
25.422,-0.062,-0.067,1.167,0.432
25.422,-0.012,-0.054,1.064,0.376667
25.425,-0.020,-0.038,1.174,0.410667
25.428,0.030,-0.024,1.041,0.365
25.430,0.158,-0.080,0.819,0.352333
25.433,0.098,-0.080,0.912,0.363333
25.435,0.032,-0.048,1.002,0.360667
25.471,0.087,-0.091,0.881,0.353
25.471,0.055,-0.071,0.967,0.364333
25.471,0.067,-0.098,0.979,0.381333
25.471,0.088,-0.049,0.885,0.340667
25.472,-0.015,-0.146,1.007,0.389333
25.472,-0.033,-0.182,1.115,0.443333
25.472,0.033,-0.132,1.038,0.401
25.472,0.094,-0.165,1.033,0.430667
25.472,0.042,-0.044,1.030,0.372
25.473,0.153,-0.119,0.870,0.380667
25.473,0.109,-0.120,0.976,0.401667
25.473,0.126,-0.083,0.985,0.398
25.473,0.242,-0.175,0.931,0.449333
25.473,0.188,-0.119,1.012,0.439667
25.473,0.132,-0.137,1.025,0.431333
25.474,0.245,-0.175,0.907,0.442333
25.477,0.215,-0.206,1.011,0.477333
25.480,0.153,-0.136,1.039,0.442667
25.481,0.123,-0.137,1.018,0.426
25.484,0.102,-0.058,1.007,0.389
25.488,0.094,-0.098,0.934,0.375333
25.489,0.029,-0.095,1.038,0.387333
25.491,-0.032,-0.070,1.096,0.399333
25.494,-0.037,-0.170,0.999,0.402
25.496,-0.063,-0.168,1.019,0.416667
25.508,-0.001,-0.158,0.956,0.371667
25.508,-0.086,-0.142,1.086,0.438
25.508,-0.164,-0.079,1.122,0.455
25.508,0.039,-0.163,1.016,0.406
25.508,0.074,-0.125,0.960,0.386333
25.511,0.117,-0.075,0.927,0.373
25.513,0.262,-0.083,0.835,0.393333
25.516,0.292,-0.108,0.793,0.397667
25.518,0.391,-0.151,0.686,0.409333
25.522,0.393,-0.162,0.674,0.409667
25.524,0.251,-0.124,0.873,0.416
25.526,0.223,-0.054,0.965,0.414
25.528,0.197,-0.025,1.103,0.441667
25.530,0.109,0.018,1.194,0.440333
25.533,0.048,-0.077,1.235,0.453333
25.535,-0.017,-0.046,1.295,0.452667
25.564,0.116,-0.156,1.096,0.456
25.564,0.127,-0.150,1.099,0.458667
25.564,0.127,-0.070,1.031,0.409333
25.564,0.172,-0.084,0.856,0.370667
25.565,0.207,-0.131,0.811,0.383
25.565,0.111,-0.143,0.905,0.386333
25.565,0.099,-0.127,0.904,0.376667
25.565,0.156,-0.067,0.851,0.358
25.565,0.099,-0.101,0.913,0.371
25.565,0.131,-0.104,0.811,0.348667
25.565,0.182,-0.087,0.760,0.343
25.565,0.082,-0.082,0.914,0.359333
25.567,0.087,-0.058,1.004,0.383
25.570,0.224,-0.031,0.913,0.389333
25.572,0.107,0.074,1.056,0.412333
25.575,0.118,0.020,0.995,0.377667
25.577,0.159,-0.131,0.969,0.419667
25.580,0.003,-0.118,1.230,0.450333
25.582,0.180,-0.192,0.974,0.448667
25.584,0.195,-0.141,0.940,0.425333
25.587,0.102,-0.151,1.121,0.458
25.590,0.138,-0.061,0.931,0.376667
25.592,0.081,-0.084,1.027,0.397333
25.594,0.112,-0.072,0.995,0.393
25.597,0.050,-0.069,1.009,0.376
25.600,-0.004,-0.054,1.089,0.382333
25.602,0.135,-0.126,0.833,0.364667
25.605,0.116,-0.221,0.847,0.394667
25.608,-0.032,-0.172,1.020,0.408
25.610,0.046,-0.192,0.905,0.381
25.612,0.155,-0.088,0.916,0.386333
25.614,0.131,-0.069,0.925,0.375
25.617,0.110,-0.008,0.866,0.328
25.619,0.137,-0.129,0.848,0.371333
25.668,0.003,-0.109,1.106,0.406
25.668,0.095,-0.111,0.981,0.395667
25.669,0.239,-0.125,0.882,0.415333
25.669,0.100,0.017,1.086,0.401
25.669,0.080,0.067,0.973,0.373333
25.669,0.129,-0.091,1.034,0.418
25.669,0.085,-0.084,1.117,0.428667
25.670,0.140,-0.133,1.069,0.447333
25.670,0.189,-0.078,1.021,0.429333
25.670,0.126,-0.013,1.157,0.432
25.670,0.202,-0.077,0.979,0.419333
25.670,0.158,-0.133,1.064,0.451667
25.671,0.103,-0.046,1.115,0.421333
25.671,0.209,-0.102,0.960,0.423667
25.671,0.173,-0.005,0.943,0.373667
25.671,0.197,-0.128,0.916,0.413667
25.671,0.081,-0.088,1.010,0.393
25.672,0.003,-0.001,1.146,0.383333
25.672,0.142,-0.065,0.913,0.373333
25.672,0.111,-0.021,1.004,0.378667
25.672,0.012,-0.050,1.174,0.412
25.674,-0.009,0.023,1.134,0.388667
25.675,0.026,-0.080,1.060,0.388667
25.679,0.070,-0.215,1.054,0.446333
25.682,0.123,-0.073,0.940,0.378667
25.684,0.210,-0.070,0.849,0.376333
25.685,0.271,-0.113,0.785,0.389667
25.688,0.190,-0.119,0.868,0.392333
25.690,0.099,-0.022,0.991,0.370667
25.694,0.195,-0.128,0.879,0.400667
25.695,0.077,0.020,1.064,0.387
25.698,0.011,0.013,1.223,0.415667
25.700,-0.018,-0.049,1.253,0.44
25.706,-0.012,-0.065,1.196,0.424333
25.707,0.023,-0.022,1.145,0.396667
25.708,0.053,0.034,1.068,0.385
25.710,0.189,-0.101,0.862,0.384
25.713,0.144,-0.083,1.036,0.421
25.715,0.138,-0.033,1.060,0.410333
25.717,0.163,0.053,0.917,0.377667
25.755,0.167,-0.051,0.895,0.371
25.755,0.106,0.018,1.044,0.389333
25.755,0.113,0.009,1.104,0.408667
