time,x,y,z,gforce
0.373,0.218,-0.090,0.954,0.983
0.375,0.217,-0.091,0.958,0.986
0.378,0.216,-0.088,0.957,0.985
0.380,0.215,-0.088,0.958,0.986
0.383,0.215,-0.089,0.952,0.980
0.385,0.216,-0.085,0.955,0.983
0.387,0.215,-0.083,0.957,0.985
0.390,0.214,-0.084,0.957,0.984
0.392,0.218,-0.086,0.956,0.984
0.395,0.218,-0.085,0.958,0.986
0.397,0.217,-0.080,0.961,0.988
0.401,0.214,-0.081,0.964,0.990
0.402,0.215,-0.082,0.960,0.987
0.405,0.217,-0.083,0.961,0.988
0.408,0.220,-0.086,0.962,0.991
0.409,0.217,-0.085,0.958,0.986
0.412,0.219,-0.091,0.959,0.988
0.414,0.216,-0.089,0.960,0.988
0.428,0.213,-0.090,0.961,0.989
0.428,0.212,-0.091,0.965,0.992
0.429,0.211,-0.091,0.957,0.985
0.429,0.215,-0.089,0.959,0.986
0.446,0.210,-0.094,0.960,0.987
0.446,0.211,-0.094,0.955,0.982
0.446,0.207,-0.094,0.964,0.991
0.447,0.204,-0.091,0.965,0.991
0.447,0.200,-0.095,0.958,0.983
0.448,0.205,-0.096,0.957,0.983
0.449,0.204,-0.091,0.955,0.981
0.449,0.199,-0.093,0.957,0.982
0.449,0.200,-0.097,0.964,0.989
0.450,0.200,-0.090,0.953,0.978
0.455,0.199,-0.090,0.956,0.980
0.456,0.195,-0.093,0.959,0.983
0.456,0.192,-0.087,0.960,0.983
0.458,0.196,-0.091,0.959,0.983
0.461,0.195,-0.088,0.961,0.984
0.463,0.197,-0.083,0.963,0.986
0.466,0.197,-0.088,0.962,0.985
0.468,0.191,-0.088,0.967,0.990
0.471,0.192,-0.087,0.971,0.994
0.473,0.192,-0.086,0.970,0.992
0.475,0.190,-0.086,0.967,0.989
0.478,0.191,-0.081,0.965,0.987
0.480,0.193,-0.083,0.971,0.993
0.483,0.188,-0.083,0.968,0.989
0.486,0.194,-0.087,0.960,0.984
