time,x,y,z,gforce
0.007,0.244,-0.105,0.951,0.987
0.008,0.239,-0.104,0.948,0.983
0.008,0.240,-0.103,0.952,0.987
0.008,0.240,-0.104,0.946,0.982
0.008,0.238,-0.100,0.947,0.982
0.011,0.237,-0.095,0.946,0.980
0.016,0.238,-0.094,0.945,0.979
0.016,0.239,-0.098,0.950,0.984
0.017,0.236,-0.091,0.945,0.979
0.020,0.239,-0.092,0.949,0.983
0.023,0.236,-0.093,0.951,0.984
0.025,0.233,-0.092,0.947,0.980
0.027,0.230,-0.091,0.949,0.980
0.034,0.230,-0.092,0.944,0.976
0.034,0.231,-0.095,0.948,0.980
0.035,0.230,-0.092,0.943,0.975
0.037,0.235,-0.092,0.944,0.977
0.040,0.235,-0.093,0.940,0.974
0.042,0.230,-0.094,0.946,0.979
0.044,0.230,-0.097,0.945,0.978
0.048,0.232,-0.091,0.946,0.978
0.052,0.234,-0.093,0.946,0.979
0.053,0.234,-0.092,0.947,0.979
0.055,0.238,-0.094,0.945,0.979
0.057,0.239,-0.097,0.947,0.981
0.060,0.241,-0.099,0.947,0.982
0.062,0.236,-0.102,0.952,0.986
0.065,0.237,-0.105,0.947,0.982
0.067,0.240,-0.101,0.954,0.989
0.069,0.244,-0.103,0.959,0.995
0.072,0.247,-0.103,0.955,0.992
0.074,0.245,-0.107,0.953,0.990
0.076,0.245,-0.109,0.952,0.989
0.078,0.247,-0.102,0.949,0.986
0.081,0.245,-0.099,0.950,0.986
0.084,0.248,-0.100,0.954,0.991
0.086,0.250,-0.102,0.954,0.992
0.088,0.244,-0.100,0.958,0.994
0.092,0.245,-0.101,0.954,0.990
0.094,0.247,-0.099,0.956,0.993
0.098,0.242,-0.095,0.957,0.991
0.099,0.239,-0.100,0.953,0.987
0.101,0.246,-0.101,0.954,0.990
0.103,0.241,-0.091,0.954,0.988
0.106,0.240,-0.090,0.954,0.988
0.109,0.238,-0.088,0.958,0.991
0.111,0.234,-0.086,0.953,0.985
0.114,0.228,-0.087,0.952,0.983
0.115,0.233,-0.085,0.953,0.985
0.118,0.231,-0.088,0.955,0.987
0.121,0.231,-0.088,0.951,0.983
0.123,0.228,-0.088,0.956,0.987
0.126,0.228,-0.088,0.959,0.989
0.129,0.229,-0.091,0.954,0.985
0.133,0.226,-0.090,0.952,0.983
0.133,0.224,-0.091,0.952,0.982
0.137,0.225,-0.091,0.955,0.986
0.139,0.228,-0.095,0.950,0.982
0.141,0.226,-0.091,0.944,0.975
0.143,0.231,-0.094,0.948,0.980
0.145,0.232,-0.093,0.952,0.984
0.159,0.234,-0.090,0.949,0.981
0.159,0.234,-0.090,0.947,0.980
0.159,0.233,-0.098,0.948,0.981
0.160,0.233,-0.101,0.952,0.985
0.160,0.234,-0.103,0.947,0.981
0.160,0.236,-0.105,0.952,0.986
0.166,0.234,-0.103,0.956,0.989
0.166,0.237,-0.109,0.957,0.992
0.171,0.233,-0.108,0.959,0.993
0.172,0.228,-0.108,0.959,0.992
0.172,0.233,-0.106,0.963,0.996
0.175,0.230,-0.109,0.963,0.996
0.177,0.228,-0.108,0.967,1.000
0.183,0.229,-0.112,0.969,1.002
0.183,0.231,-0.117,0.966,1.000
0.184,0.226,-0.112,0.965,0.997
0.187,0.224,-0.113,0.962,0.995
0.190,0.226,-0.113,0.960,0.992
0.191,0.223,-0.114,0.956,0.988
0.194,0.224,-0.109,0.955,0.987
0.198,0.228,-0.109,0.955,0.988
0.199,0.224,-0.111,0.954,0.986
0.202,0.219,-0.108,0.952,0.983
0.204,0.223,-0.108,0.954,0.986
0.206,0.227,-0.108,0.953,0.986
0.209,0.223,-0.106,0.953,0.984
0.223,0.222,-0.103,0.956,0.987
0.223,0.223,-0.099,0.956,0.987
0.224,0.225,-0.101,0.954,0.985
0.224,0.222,-0.097,0.948,0.979
0.224,0.225,-0.095,0.949,0.980
0.225,0.225,-0.095,0.948,0.979
0.228,0.227,-0.092,0.946,0.977
0.229,0.226,-0.092,0.951,0.982
0.233,0.226,-0.087,0.949,0.979
0.234,0.224,-0.088,0.946,0.976
0.236,0.224,-0.087,0.952,0.981
0.238,0.226,-0.085,0.957,0.987
0.242,0.225,-0.085,0.950,0.980
0.246,0.221,-0.085,0.946,0.975
0.246,0.225,-0.082,0.951,0.981
0.255,0.221,-0.082,0.956,0.984
0.255,0.222,-0.085,0.950,0.980
0.256,0.222,-0.081,0.948,0.977
0.256,0.221,-0.088,0.950,0.979
0.258,0.219,-0.087,0.949,0.978
0.260,0.217,-0.090,0.950,0.979
0.263,0.224,-0.088,0.955,0.985
0.265,0.220,-0.096,0.951,0.981
0.270,0.216,-0.092,0.954,0.983
0.271,0.223,-0.095,0.955,0.986
0.273,0.223,-0.100,0.956,0.987
0.275,0.220,-0.101,0.953,0.983
0.277,0.225,-0.098,0.957,0.988
0.281,0.224,-0.104,0.956,0.987
0.282,0.230,-0.101,0.958,0.991
