time,x,y,z,0
19.576,0.105,-0.120,1.033,0.169
19.579,0.044,-0.019,0.993,0.202
19.581,0.077,-0.008,0.942,0.095
19.585,-0.027,-0.050,1.047,0.251
19.597,-0.208,0.025,1.111,0.32
19.598,0.128,-0.010,0.803,0.679
19.598,0.077,-0.037,0.929,0.204
19.599,-0.040,-0.007,0.985,0.203
19.599,0.151,-0.094,0.748,0.515
19.600,-0.076,-0.072,0.978,0.479
19.616,-0.094,-0.114,1.050,0.132
19.616,0.403,-0.246,0.441,1.238
19.617,0.072,-0.139,0.869,0.866
19.617,0.055,-0.064,1.191,0.414
19.617,0.126,-0.071,0.887,0.382
19.617,-0.023,-0.133,1.169,0.493
19.618,-0.025,-0.114,1.383,0.235
19.618,-0.008,-0.117,1.171,0.232
19.650,-0.210,-0.015,1.247,0.38
19.651,-0.012,-0.157,1.070,0.517
19.651,-0.149,-0.100,1.251,0.375
19.651,-0.420,0.047,1.466,0.633
19.651,-0.162,0.018,1.069,0.684
19.651,-0.313,-0.066,1.150,0.316
19.651,-0.454,-0.086,1.208,0.219
19.651,-0.145,-0.113,0.776,0.768
19.651,-0.232,-0.053,0.878,0.249
19.651,-0.385,-0.067,1.249,0.538
19.652,-0.269,-0.051,0.973,0.408
19.652,-0.179,-0.141,1.023,0.23
19.652,-0.103,-0.188,1.065,0.165
19.652,0.037,-0.226,0.840,0.403
19.654,0.053,-0.299,0.785,0.144
19.656,0.252,-0.301,0.784,0.202
19.660,0.383,-0.187,0.576,0.453
19.662,0.143,-0.040,0.956,0.767
19.665,0.055,-0.053,1.152,0.297
19.667,0.260,-0.046,0.994,0.37
19.669,0.081,0.081,1.072,0.384
19.673,-0.065,0.061,1.235,0.329
19.674,-0.023,0.023,1.197,0.118
19.676,0.163,-0.055,0.860,0.601
19.678,-0.136,0.054,1.176,0.724
19.681,-0.113,0.013,1.170,0.07
19.683,0.095,-0.037,0.839,0.589
19.686,-0.047,0.003,0.983,0.326
19.702,-0.125,-0.019,1.107,0.224
19.703,0.155,-0.041,0.756,0.653
19.703,-0.018,-0.062,0.840,0.278
19.703,-0.106,-0.124,1.095,0.405
19.703,0.071,-0.199,0.836,0.511
19.704,0.006,-0.165,0.857,0.12
19.704,-0.110,-0.197,1.151,0.442
19.706,0.031,-0.158,0.887,0.444
19.708,0.187,-0.206,0.761,0.33
19.710,0.254,-0.134,0.588,0.312
19.714,0.156,-0.045,0.772,0.371
19.715,0.133,-0.082,0.848,0.136
19.719,0.294,-0.081,0.628,0.382
19.721,0.070,-0.001,0.944,0.62
19.723,0.040,0.032,1.046,0.165
19.726,0.246,-0.040,0.757,0.567
19.728,0.102,-0.009,0.853,0.271
19.731,-0.104,-0.065,1.241,0.65
19.733,-0.080,0.020,1.186,0.164
19.736,-0.028,0.067,1.060,0.225
19.738,-0.154,0.078,1.279,0.356
19.741,-0.015,0.078,1.146,0.272
19.743,0.041,0.009,0.881,0.39
19.746,-0.092,-0.029,1.125,0.415
19.748,-0.005,-0.012,1.041,0.188
19.751,0.029,-0.083,0.959,0.187
19.753,-0.078,-0.016,1.002,0.217
19.756,-0.090,-0.076,1.235,0.305
19.758,-0.027,-0.063,1.003,0.308
19.761,0.047,-0.038,0.960,0.142
19.763,-0.059,-0.059,1.060,0.227
19.765,-0.013,0.012,1.049,0.128
19.767,0.089,-0.072,0.917,0.318
19.776,0.007,-0.052,1.057,0.242
19.776,0.026,0.038,1.106,0.158
19.777,0.080,-0.001,0.956,0.243
19.779,-0.006,-0.002,1.036,0.167
19.779,-0.029,0.015,1.118,0.122
19.782,-0.002,0.015,1.077,0.068
19.784,0.010,-0.071,1.013,0.162
19.819,0.046,-0.053,1.004,0.063
19.819,0.066,-0.082,0.961,0.092
19.819,0.022,-0.070,0.938,0.079
19.820,0.009,-0.044,0.964,0.065
19.820,-0.024,-0.012,1.100,0.201
19.820,-0.064,-0.048,1.114,0.09
19.820,-0.116,-0.087,1.059,0.146
19.820,-0.083,-0.073,1.171,0.159
19.821,-0.027,-0.097,1.042,0.209
19.821,-0.129,-0.158,1.121,0.242
19.821,-0.024,-0.182,1.066,0.184
19.821,-0.080,-0.048,1.103,0.227
19.821,-0.051,-0.077,1.116,0.071
19.821,0.012,-0.144,1.059,0.187
19.821,-0.062,-0.058,1.044,0.175
19.824,-0.078,-0.001,1.115,0.144
19.827,0.057,-0.087,1.085,0.251
19.829,0.084,-0.095,0.964,0.156
19.831,-0.007,-0.042,1.149,0.329
19.833,-0.006,-0.149,1.119,0.138
19.837,0.104,-0.134,1.046,0.198
19.838,0.032,-0.103,1.101,0.158
19.841,0.061,-0.159,1.029,0.157
19.844,0.043,-0.153,1.054,0.049
19.856,-0.040,-0.076,1.204,0.31
19.856,-0.090,-0.171,1.205,0.146
19.857,-0.078,-0.125,1.076,0.187
19.857,-0.126,-0.148,1.239,0.234
19.857,-0.153,-0.174,1.142,0.15
19.863,-0.187,-0.205,1.168,0.091
19.863,-0.175,-0.122,1.228,0.155
19.864,-0.211,-0.113,1.224,0.049
19.866,-0.307,-0.091,1.205,0.137
19.868,-0.085,-0.318,1.137,0.517
19.871,0.093,-0.205,0.883,0.545
19.873,-0.041,-0.286,0.939,0.271
19.875,0.165,-0.287,0.778,0.368
19.878,0.097,-0.236,0.934,0.275
19.880,0.029,-0.280,0.972,0.15
19.883,0.041,-0.303,0.879,0.128
19.886,-0.132,-0.099,1.218,0.716
19.890,-0.124,-0.135,1.173,0.089
19.890,0.055,-0.223,0.855,0.585
19.893,-0.160,-0.145,1.202,0.64
19.895,-0.156,-0.117,1.235,0.065
19.897,-0.035,-0.192,0.966,0.465
19.900,-0.078,-0.246,0.977,0.108
19.903,-0.117,-0.214,1.105,0.199
19.932,-0.129,-0.048,1.065,0.218
19.933,-0.169,-0.202,1.117,0.246
19.933,-0.135,-0.172,0.943,0.238
19.933,-0.195,-0.206,1.069,0.22
19.933,-0.167,-0.346,1.040,0.197
19.934,-0.089,-0.342,0.934,0.188
19.934,-0.008,-0.323,0.970,0.136
19.934,-0.140,-0.292,1.117,0.31
19.934,-0.013,-0.323,1.021,0.254
19.935,-0.139,-0.253,1.204,0.379
19.935,-0.194,-0.297,1.279,0.174
19.935,-0.031,-0.280,0.986,0.473
19.935,-0.062,-0.320,1.129,0.214
19.938,-0.111,-0.321,1.145,0.066
19.939,-0.048,-0.249,1.038,0.242
19.943,-0.003,-0.372,1.071,0.201
19.946,0.093,-0.296,0.950,0.293
19.948,-0.115,-0.209,1.218,0.563
19.949,-0.134,-0.351,1.370,0.313
19.951,0.115,-0.274,0.993,0.703
19.954,-0.202,-0.226,1.462,0.834
19.957,-0.390,-0.310,1.747,0.557
19.959,0.111,-0.429,1.005,1.362
19.961,-0.106,-0.390,1.249,0.5
19.964,-0.342,-0.423,1.401,0.421
19.966,0.057,-0.520,0.755,1.142
19.970,0.074,-0.533,0.844,0.119
19.971,0.137,-0.523,0.650,0.267
19.973,0.216,-0.469,0.251,0.532
19.976,0.145,-0.445,0.570,0.414
19.979,0.119,-0.444,0.634,0.091
19.981,0.023,-0.383,0.619,0.172
19.983,-0.259,-0.266,1.103,0.883
19.987,-0.281,-0.241,1.259,0.203
19.988,-0.512,-0.326,1.720,0.777
19.991,-0.506,-0.180,1.721,0.153
19.995,-0.395,-0.173,1.602,0.237
19.996,-0.329,-0.269,1.736,0.296
19.998,0.112,-0.413,0.937,1.384
20.001,0.024,-0.364,0.957,0.157
20.010,0.224,-0.458,0.908,0.343
20.011,0.709,-0.404,0.193,1.254
20.011,0.539,-0.459,0.406,0.438
20.011,0.443,-0.342,0.490,0.297
20.014,0.599,-0.255,0.284,0.449
20.016,0.483,-0.257,0.537,0.371
20.018,0.299,-0.361,0.591,0.342
20.052,-0.099,-0.277,0.934,0.825
20.053,-0.149,-0.138,1.346,0.601
20.053,0.092,-0.103,0.872,0.75
20.053,-0.383,-0.075,1.361,0.992
20.053,-0.331,-0.156,1.194,0.3
20.053,-0.268,-0.223,1.049,0.275
20.054,-0.248,-0.353,1.114,0.215
20.054,-0.266,-0.279,0.801,0.405
20.054,-0.221,-0.309,0.834,0.108
20.054,0.103,-0.299,0.579,0.589
20.054,0.198,-0.257,0.410,0.306
20.054,-0.015,-0.252,0.501,0.309
20.054,0.009,-0.128,0.539,0.186
20.055,0.091,-0.171,0.566,0.152
20.055,-0.010,-0.192,0.882,0.438
20.058,-0.054,-0.107,0.892,0.139
20.060,-0.093,-0.090,0.971,0.135
20.063,-0.010,-0.177,1.115,0.314
20.064,0.193,-0.215,0.955,0.401
20.067,0.006,-0.345,1.033,0.395
20.071,-0.119,-0.287,1.353,0.503
20.072,0.327,-0.465,0.872,1.105
20.074,0.315,-0.479,0.955,0.109
20.078,0.069,-0.434,1.159,0.495
20.079,-0.021,-0.407,1.080,0.196
20.082,0.026,-0.258,1.218,0.334
20.084,0.315,-0.312,0.799,0.762
20.087,0.276,-0.476,0.735,0.267
20.089,-0.115,-0.392,1.085,0.825
20.103,0.235,-0.345,0.761,0.721
20.104,0.412,-0.375,0.526,0.442
20.104,0.149,-0.438,1.152,0.952
20.104,0.177,-0.323,0.967,0.328
20.105,0.208,-0.169,0.857,0.295
20.105,0.220,-0.229,0.948,0.163
20.112,0.218,-0.370,1.056,0.251
20.112,0.047,-0.360,1.213,0.338
20.112,0.051,-0.174,1.072,0.331
20.151,0.344,-0.211,0.779,0.623
20.152,0.357,-0.395,0.977,0.395
20.152,0.190,-0.294,1.094,0.385
20.152,0.257,-0.143,0.729,0.583
20.152,0.244,-0.169,0.974,0.284
20.153,0.227,-0.272,1.246,0.392
20.153,0.240,-0.386,0.843,0.53
20.153,-0.013,-0.198,1.138,0.736
20.154,0.185,-0.243,1.041,0.34
20.154,0.387,-0.492,0.940,0.552
20.154,0.044,-0.440,1.149,0.604
20.155,-0.052,-0.378,1.187,0.196
20.155,0.234,-0.163,1.112,0.576
20.156,0.076,-0.322,1.284,0.489
20.156,0.127,-0.422,1.359,0.226
20.156,0.166,-0.343,0.972,0.505
20.157,0.163,-0.459,1.284,0.431
20.157,0.092,-0.545,1.206,0.235
20.159,0.010,-0.491,1.074,0.268
20.161,0.224,-0.481,1.155,0.305
20.163,0.335,-0.311,0.917,0.519
20.165,-0.031,-0.282,1.211,0.689
20.168,0.211,-0.329,1.127,0.373
20.170,0.402,-0.306,0.810,0.531
20.172,0.010,-0.309,1.214,0.799
20.175,-0.189,-0.193,1.397,0.498
20.177,0.281,-0.421,0.943,1.152
20.180,0.158,-0.286,1.159,0.474
20.183,0.042,-0.300,1.180,0.151
20.188,0.292,-0.317,0.797,0.65
20.189,0.459,-0.381,0.660,0.368
20.190,0.052,-0.356,1.153,0.925
20.195,0.237,-0.125,0.951,0.618
20.195,0.551,-0.134,0.617,0.657
20.197,0.240,-0.284,0.961,0.805
20.200,0.204,-0.169,0.889,0.223
20.227,0.263,-0.214,0.970,0.185
20.227,0.227,-0.254,0.945,0.101
20.228,0.126,-0.367,0.896,0.263
20.228,-0.092,-0.263,1.384,0.81
20.228,0.054,-0.063,1.465,0.427
20.228,0.016,0.000,1.110,0.456
20.228,-0.206,-0.231,1.463,0.806
20.228,0.096,0.038,1.282,0.752
20.228,0.218,0.092,0.981,0.477
20.228,-0.053,-0.110,1.254,0.746
20.228,0.098,-0.189,1.194,0.29
20.229,0.264,-0.075,0.955,0.519
20.232,0.224,-0.123,1.193,0.326
20.234,0.138,-0.046,1.090,0.266
20.238,0.311,-0.097,1.056,0.258
20.239,0.523,0.059,0.951,0.473
20.242,0.482,0.076,0.873,0.136
20.245,0.353,0.039,0.966,0.259
20.248,0.405,0.010,0.980,0.095
20.249,0.640,0.135,0.664,0.676
20.251,0.837,0.205,0.262,0.669
20.254,0.503,0.068,0.738,0.947
20.256,0.397,0.123,1.156,0.579
20.259,0.656,0.302,0.596,0.998
20.261,0.553,0.080,0.817,0.546
20.263,0.246,0.213,1.073,0.696
20.266,0.452,0.161,0.727,0.604
20.269,0.358,0.188,0.666,0.182
20.272,0.345,0.154,0.692,0.073
20.274,0.046,0.263,0.886,0.602
20.276,0.142,0.145,0.787,0.313
20.279,0.044,0.232,0.847,0.245
20.281,0.079,0.049,0.780,0.285
20.284,-0.113,-0.059,1.001,0.521
20.286,0.035,-0.012,1.019,0.213
20.289,0.256,0.059,0.631,0.68
20.292,0.081,0.044,1.009,0.568
20.294,0.178,-0.014,0.948,0.216
20.296,0.344,0.081,0.807,0.402
20.299,0.295,0.148,0.893,0.202
20.302,0.277,0.039,0.856,0.164
20.310,0.276,-0.009,0.930,0.123
20.310,0.273,0.142,0.901,0.183
20.311,0.392,0.143,0.793,0.228
20.311,0.276,0.227,0.887,0.294
20.313,0.342,0.089,0.792,0.299
20.315,0.355,-0.004,0.744,0.154
20.318,0.319,0.051,0.708,0.127
20.353,0.378,-0.024,0.770,0.196
20.353,0.485,-0.035,0.562,0.326
20.353,0.402,0.019,0.623,0.198
20.353,0.293,0.091,0.698,0.256
20.353,0.334,0.112,0.624,0.136
20.353,0.431,0.085,0.532,0.216
20.353,0.484,-0.089,0.454,0.305
20.361,0.394,-0.064,0.576,0.237
20.361,0.426,-0.118,0.609,0.119
20.361,0.448,-0.095,0.552,0.102
20.362,0.426,-0.117,0.616,0.108
20.362,0.394,0.053,0.674,0.26
20.362,0.457,0.054,0.594,0.144
20.362,0.413,-0.022,0.601,0.127
20.362,0.415,0.032,0.606,0.061
20.362,0.357,0.034,0.594,0.072
20.362,0.339,-0.130,0.677,0.265
20.363,0.377,-0.058,0.550,0.237
20.365,0.309,-0.125,0.654,0.239
20.367,0.271,-0.078,0.645,0.094
20.369,0.346,-0.087,0.509,0.22
20.372,0.235,-0.160,0.636,0.311
20.375,0.169,-0.126,0.739,0.203
20.377,0.250,-0.079,0.552,0.315
20.380,0.153,-0.259,0.668,0.393
20.382,0.080,-0.384,0.817,0.347
20.388,0.239,-0.260,0.584,0.516
20.389,0.178,-0.271,0.599,0.087
20.390,0.232,-0.395,0.614,0.193
20.392,0.182,-0.514,0.570,0.213
20.394,0.222,-0.338,0.661,0.307
20.396,0.265,-0.122,0.488,0.432
20.399,0.168,-0.284,0.641,0.412
20.449,0.169,-0.377,0.642,0.095
20.449,0.228,-0.193,0.409,0.476
20.449,0.212,0.041,0.295,0.364
20.449,0.247,-0.075,0.127,0.319
20.449,0.252,-0.006,0.039,0.162
20.450,0.263,-0.018,-0.132,0.194
20.450,0.221,0.132,-0.125,0.199
20.450,0.182,0.117,-0.291,0.22
20.450,0.286,-0.024,-0.450,0.404
20.450,0.164,-0.015,-0.495,0.176
20.450,0.211,0.040,-0.606,0.213
20.450,0.354,0.100,-0.906,0.503
20.450,0.313,0.030,-1.121,0.326
20.450,0.575,0.054,-1.229,0.394
20.450,0.554,0.016,-1.423,0.253
20.451,0.273,-0.112,-0.510,1.322
20.451,1.094,0.121,-1.434,1.978
20.451,1.602,-0.157,-2.564,1.916
20.451,1.514,-0.258,-1.889,0.864
20.451,1.590,-0.072,-1.974,0.347
20.451,1.994,-0.266,-1.900,0.672
20.453,1.512,-0.238,-1.366,1.044
20.455,1.419,-0.616,-0.675,1.162
20.458,2.369,-0.579,-2.040,2.352
20.461,2.249,-0.514,-2.704,0.849
20.463,1.757,-0.553,-0.957,2.278
20.465,2.156,-0.705,-1.717,1.311
20.469,1.619,-0.403,-1.726,0.848
20.470,1.457,-0.726,-0.720,1.491
20.473,1.401,-0.440,-1.296,0.918
20.475,0.777,-0.588,-0.541,1.527
20.477,0.703,-0.817,-0.458,0.386
20.480,0.644,-0.846,-0.703,0.333
20.482,0.559,-0.577,-0.798,0.449
20.485,0.224,-0.707,-0.465,0.798
20.488,-0.081,-0.672,0.037,0.842
20.490,-0.087,-0.527,0.180,0.294
20.492,-0.265,-0.339,0.597,0.783
20.495,-0.619,-0.132,1.027,0.991
20.497,-0.638,-0.039,1.223,0.308
20.500,-0.469,-0.007,1.362,0.34
20.505,-1.029,0.258,2.175,1.638
20.505,-1.163,0.388,3.519,1.608
20.507,-2.168,0.496,3.926,1.52
20.510,-2.783,0.346,3.926,0.765
20.512,-1.907,0.336,3.915,0.897
20.515,-2.732,0.757,3.926,1.257
20.544,-2.698,0.174,3.926,0.617
20.544,-3.417,0.212,3.926,0.757
20.544,-3.341,0.162,3.926,0.126
20.544,0.271,0.109,3.825,3.766
20.544,-1.408,0.893,3.051,3.237
20.545,0.014,0.475,3.894,2.683
20.545,-1.653,-0.498,3.926,2.672
20.545,1.130,-0.301,3.444,3.462
20.545,1.173,1.000,1.845,2.943
20.546,0.741,-0.249,3.814,3.65
20.546,0.223,0.006,3.841,0.8
20.546,0.859,0.444,2.703,2.212
20.546,0.068,-0.567,2.730,1.829
20.550,-0.429,-0.633,2.890,0.723
20.552,-1.228,-0.573,3.229,1.198
20.553,-1.216,-1.153,3.032,0.789
20.556,-2.314,-0.034,3.684,2.869
20.559,-1.670,0.026,2.723,1.665
20.562,-1.439,-0.901,1.311,2.57
20.565,-1.853,-0.598,2.126,1.532
20.566,-0.947,-0.977,1.085,2.326
20.569,-1.410,-1.592,1.104,1.097
20.571,-1.349,-1.067,1.904,1.386
20.574,0.262,-1.474,0.198,3.724
20.577,-1.005,-1.343,2.048,3.248
20.579,-0.504,-0.369,3.272,2.699
20.581,-0.563,-0.609,2.605,0.966
20.593,-0.749,-0.386,3.260,1.064
20.594,-0.274,-0.288,3.416,0.729
20.594,-0.675,-0.346,3.675,0.718
20.595,-0.845,0.392,3.926,1.159
20.595,-0.327,0.166,3.286,1.384
20.605,-1.098,0.176,3.793,1.288
20.605,-0.704,0.815,3.360,1.466
20.605,-1.415,0.610,3.143,1.133
20.606,-1.167,0.503,3.316,0.528
20.606,-1.031,0.765,2.640,1.074
20.608,-1.194,0.193,2.263,1.112
20.610,-1.112,0.440,2.356,0.422
20.612,-1.798,0.489,1.689,1.402
20.615,-1.242,-0.135,1.873,1.364
20.635,-0.752,0.105,1.311,1.292
20.635,-0.903,0.083,1.236,0.248
20.635,-0.846,0.068,1.078,0.23
20.635,-0.635,0.344,1.082,0.491
20.636,-0.561,0.371,0.978,0.205
20.636,-0.067,0.706,0.850,0.957
20.636,-0.411,0.406,1.060,0.854
20.636,-0.482,0.261,1.345,0.501
20.638,-0.192,-0.359,1.105,1.15
20.640,-0.189,-0.359,1.394,0.292
20.643,-0.344,-0.002,1.581,0.699
20.645,-0.103,0.448,1.277,0.995
20.647,-0.033,0.523,1.190,0.232
20.649,-0.035,1.011,1.244,0.544
20.652,-0.076,1.267,1.192,0.349
20.654,-0.058,1.382,1.043,0.282
20.657,0.061,0.803,0.812,0.929
20.659,0.103,0.500,0.464,0.693
20.662,0.271,0.250,0.708,0.662
20.664,0.302,0.677,0.334,0.832
20.668,0.531,0.934,0.334,0.486
20.670,0.619,1.139,0.289,0.338
20.672,0.624,1.208,0.401,0.186
20.675,0.780,1.185,0.438,0.216
20.677,0.813,1.057,0.303,0.296
20.680,1.057,0.448,0.276,0.88
20.682,0.974,0.036,0.323,0.542
20.685,1.042,-0.074,0.338,0.193
20.687,1.200,0.121,0.080,0.611
20.689,1.168,0.189,-0.101,0.281
20.692,1.230,0.141,-0.162,0.171
20.694,1.222,0.269,-0.345,0.319
20.697,1.203,0.313,-0.467,0.185
20.699,1.211,0.217,-0.609,0.246
20.705,1.130,-0.066,-0.621,0.376
20.705,1.047,-0.181,-0.426,0.393
20.708,1.157,-0.092,-0.629,0.402
20.709,1.135,0.081,-0.689,0.255
20.711,1.127,0.203,-0.668,0.151
20.713,1.127,0.189,-0.651,0.031
20.716,1.176,0.184,-0.701,0.104
20.742,1.161,0.102,-0.646,0.152
20.742,1.131,0.020,-0.561,0.197
20.742,1.227,-0.101,-0.693,0.349
20.743,1.193,-0.140,-0.594,0.172
20.743,1.169,-0.068,-0.585,0.105
20.743,1.222,0.015,-0.659,0.21
20.743,1.145,0.059,-0.680,0.142
20.743,1.186,-0.009,-0.815,0.244
20.743,1.086,-0.108,-0.799,0.215
20.744,1.090,-0.222,-0.846,0.165
20.744,1.047,-0.338,-0.931,0.244
20.746,0.966,-0.456,-0.864,0.266
20.749,0.939,-0.477,-0.876,0.06
20.751,0.875,-0.411,-0.846,0.16
20.753,0.878,-0.396,-0.831,0.033
20.755,0.854,-0.331,-0.791,0.129
20.759,0.807,-0.281,-0.709,0.179
20.760,0.808,-0.295,-0.670,0.054
20.763,0.800,-0.294,-0.639,0.04
20.766,0.816,-0.309,-0.632,0.038
20.769,0.779,-0.362,-0.595,0.127
20.770,0.756,-0.376,-0.528,0.104
20.772,0.781,-0.306,-0.574,0.141
20.775,0.782,-0.273,-0.611,0.071
20.778,0.774,-0.267,-0.612,0.015
20.780,0.749,-0.260,-0.658,0.078
20.783,0.726,-0.263,-0.679,0.047
20.795,0.726,-0.262,-0.768,0.09
20.796,0.637,-0.291,-0.740,0.146
20.797,0.583,-0.289,-0.763,0.079
20.798,0.532,-0.246,-0.797,0.128
20.799,0.448,-0.228,-0.786,0.113
20.799,0.408,-0.241,-0.803,0.07
20.840,0.329,-0.238,-0.786,0.099
20.841,0.280,-0.275,-0.754,0.118
20.841,0.261,-0.283,-0.761,0.034
20.841,0.188,-0.293,-0.705,0.139
20.841,0.160,-0.312,-0.657,0.095
20.842,0.164,-0.284,-0.673,0.048
20.842,0.048,-0.247,-0.570,0.256
20.842,0.115,-0.212,-0.564,0.108
20.842,0.130,-0.154,-0.674,0.183
20.842,0.013,-0.162,-0.511,0.288
20.843,0.109,-0.113,-0.639,0.273
20.843,0.003,-0.130,-0.605,0.157
20.851,-0.021,-0.124,-0.483,0.152
20.851,0.052,-0.083,-0.726,0.357
20.852,-0.047,-0.119,-0.557,0.304
20.852,-0.112,-0.090,-0.459,0.192
20.852,-0.011,-0.013,-0.652,0.371
20.852,-0.132,-0.037,-0.454,0.343
20.852,-0.121,-0.004,-0.472,0.062
20.852,-0.090,-0.014,-0.507,0.076
20.852,-0.212,0.026,-0.353,0.316
20.853,-0.121,0.026,-0.406,0.144
20.855,-0.199,0.052,-0.352,0.158
20.856,-0.194,0.041,-0.206,0.162
20.859,-0.161,0.128,-0.321,0.235
20.861,-0.202,0.113,-0.174,0.203
20.863,-0.183,0.128,-0.211,0.071
20.866,-0.186,0.139,-0.191,0.034
20.869,-0.189,0.126,-0.167,0.04
20.872,-0.176,0.129,-0.196,0.045
20.873,-0.188,0.141,-0.176,0.044
20.878,-0.190,0.177,-0.186,0.048
20.880,-0.212,0.211,-0.181,0.061
20.882,-0.206,0.236,-0.174,0.038
20.884,-0.219,0.262,-0.177,0.042
20.888,-0.233,0.293,-0.175,0.047
20.888,-0.268,0.304,-0.140,0.081
20.891,-0.269,0.322,-0.167,0.046
20.893,-0.312,0.361,-0.093,0.156
20.896,-0.296,0.415,-0.146,0.123
20.898,-0.343,0.428,-0.056,0.15
20.918,-0.345,0.470,-0.074,0.062
20.918,-0.343,0.498,-0.066,0.038
20.918,-0.372,0.503,-0.024,0.076
20.918,-0.378,0.499,0.002,0.036
20.918,-0.376,0.494,-0.002,0.011
20.918,-0.410,0.469,0.055,0.116
20.918,-0.381,0.455,0.052,0.046
20.919,-0.899,0.517,0.738,1.266
20.920,-3.862,-0.088,3.503,6.333
20.922,-4.013,-1.461,3.926,1.947
20.926,-4.111,-0.543,3.897,1.045
20.928,-4.111,-0.021,3.911,0.536
20.931,-4.109,0.528,3.926,0.566
20.933,-3.701,2.080,3.926,1.96
20.935,-1.373,0.778,3.925,3.631
20.937,-0.569,1.090,3.309,1.732
20.939,1.118,0.329,3.173,2.584
20.942,3.090,-1.785,-0.331,7.59
20.944,3.895,-2.590,-4.079,5.358
20.947,3.895,-2.687,-4.079,0.097
20.950,3.873,-3.123,-1.828,2.709
20.951,3.895,-2.187,-0.269,2.517
20.954,3.895,-1.036,0.834,2.254
20.957,3.894,-1.454,3.587,3.172
20.959,2.591,-0.602,3.926,2.494
20.961,-1.048,0.852,3.894,5.125
20.964,-2.383,0.812,3.913,1.394
20.967,-2.380,1.231,3.926,0.435
20.969,-2.456,1.296,3.926,0.141
20.971,-1.654,0.775,3.343,1.906
20.974,-2.712,1.457,1.595,3.488
20.976,-0.480,0.973,-1.676,5.987
20.979,-0.095,0.182,-4.079,3.579
20.981,-1.057,0.774,-4.079,1.554
20.984,-2.899,0.329,-3.764,2.602
20.986,-4.111,-0.085,-2.820,2.57
20.988,-4.046,0.336,-0.177,3.129
20.991,-4.048,-0.776,-0.756,1.693
20.993,-4.111,0.009,0.738,2.342
20.996,-4.100,1.793,1.944,3.001
20.998,-2.016,0.472,1.017,4.332
21.003,0.386,-0.005,-1.107,5.003
21.004,1.093,0.370,-1.574,1.549
21.016,3.481,-0.578,-2.873,4.635
21.017,3.895,-0.771,-3.024,0.758
21.017,3.882,-0.613,-3.362,0.509
21.018,3.883,-0.506,-2.429,1.041
21.018,3.843,0.349,-1.780,1.544
21.019,3.402,-0.503,-0.558,2.515
21.048,3.224,-0.349,-0.770,0.544
21.049,1.791,-0.012,0.994,3.534
21.049,1.861,-0.168,1.427,0.659
21.049,0.612,-0.486,1.382,1.612
21.049,1.088,-0.151,0.329,1.864
21.050,0.458,0.192,-0.768,2.07
21.050,-0.354,0.004,-0.705,1.063
21.050,-0.827,-0.052,-0.670,0.564
21.050,-0.359,-0.343,-1.510,1.599
21.050,-1.147,-0.547,-0.624,1.878
21.050,-1.743,-0.716,-0.091,1.298
21.051,-1.478,-1.026,0.233,0.899
21.051,-1.689,-0.841,0.675,0.838
21.053,-1.711,-1.075,1.839,1.42
21.055,-1.369,-1.149,2.429,1.006
21.057,-0.954,-0.903,2.527,0.759
21.061,0.152,-0.927,2.628,1.231
21.063,-0.062,-0.595,3.631,1.549
21.066,0.696,-0.276,3.926,1.372
21.068,1.815,-0.189,3.048,2.084
21.070,0.687,-0.141,3.686,1.814
21.073,0.514,-0.376,3.926,0.648
21.086,0.822,-0.220,3.919,0.471
21.086,0.010,-0.477,3.918,1.07
21.086,-1.301,-0.777,3.926,1.619
21.087,-1.688,-0.286,3.926,0.878
21.087,0.946,-0.297,3.760,2.811
21.087,-0.572,-0.178,3.609,1.788
21.090,-0.901,-0.087,3.926,0.737
21.092,-0.452,-0.307,3.641,0.954
21.095,0.172,-0.322,2.345,1.935
21.097,-0.282,-0.309,2.724,0.846
21.102,0.443,-0.539,1.499,2.18
21.102,-0.292,-0.321,1.407,1.045
21.104,0.114,-0.294,1.176,0.664
21.106,0.260,-0.424,0.772,0.68
21.109,-0.534,-0.222,0.835,1.059
21.112,-0.744,-0.323,1.655,1.131
21.114,-0.055,-0.375,0.773,1.623
21.129,-0.722,-0.082,1.495,1.682
21.130,-0.767,-0.250,1.473,0.235
21.130,0.152,-0.705,0.673,2.174
21.130,-0.093,-0.655,1.043,0.665
21.130,-0.047,-0.912,1.332,0.592
21.130,-0.008,-0.857,1.493,0.255
21.132,-0.183,-0.773,2.208,0.974
21.134,0.106,-0.299,2.136,0.835
21.136,0.383,-0.533,2.099,0.548
21.139,-0.523,-0.194,3.332,2.478
21.141,-0.222,0.063,3.556,0.782
21.144,0.185,0.060,3.069,0.897
21.146,-0.586,0.113,3.099,0.854
21.148,-0.191,0.048,3.317,0.678
21.151,-0.971,0.288,3.926,1.629
21.153,-1.581,0.308,3.926,0.63
21.155,-1.229,0.576,3.794,0.752
21.158,-1.304,0.907,3.530,0.67
21.160,-2.274,0.821,3.764,1.29
21.163,-1.598,0.983,3.748,0.854
21.167,-2.020,1.110,2.910,1.387
21.168,-2.230,0.553,3.287,1.144
21.171,-1.550,1.434,2.721,2.127
21.173,-1.451,0.926,1.946,1.382
21.175,-1.538,0.586,3.001,1.482
21.178,-1.091,0.896,2.228,1.53
21.180,-1.066,0.086,2.539,1.146
